"player","score of ConsiderSelfOnly","score of CondiserEnemyPosition","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"ConsiderSelfOnly","0","0","2044","7483","5033","-122","4","0","0","0","0","44","1","26","2"
"CondiserEnemyPosition","0","0","3304","57288","51541","-18","4","0","0","0","0","44","7","17","9"
"ConsiderSelfOnly","0","0","1087","12258","9075","-104","4","0","0","0","0","51","2","19","3"
"CondiserEnemyPosition","0","0","4934","90195","81489","-24","4","0","0","0","0","51","11","13","10"
"ConsiderSelfOnly","0","0","1666","16441","11968","-80","4","0","0","0","0","62","2","24","2"
"CondiserEnemyPosition","0","0","15891","283248","253831","-6","4","0","0","0","0","54","19","27","8"
"ConsiderSelfOnly","0","0","1543","12119","7958","-74","4","0","0","0","0","62","1","33","1"
"CondiserEnemyPosition","0","0","16887","316646","286796","-24","4","0","0","0","0","58","10","46","9"
"ConsiderSelfOnly","0","0","4423","71866","59934","-36","4","0","0","0","0","62","10","17","5"
"CondiserEnemyPosition","0","0","25103","403219","346637","-26","4","0","0","0","0","65","23","36","6"
"ConsiderSelfOnly","0","0","1917","19356","14014","-68","4","0","0","0","0","67","2","27","2"
"CondiserEnemyPosition","0","0","24557","444562","396411","-40","4","0","0","0","0","60","19","39","8"
"ConsiderSelfOnly","0","0","1705","26489","21449","-26","4","0","0","0","0","58","3","22","4"
"CondiserEnemyPosition","0","0","6033","95619","83147","-72","4","0","0","0","0","64","6","28","6"
"ConsiderSelfOnly","0","0","2295","27479","20966","-6","4","0","0","0","0","62","4","24","3"
"CondiserEnemyPosition","0","0","36503","673260","596776","-14","4","0","0","0","0","64","29","39","8"
"ConsiderSelfOnly","0","0","5098","78458","63719","-30","4","0","0","0","0","59","12","19","4"
"CondiserEnemyPosition","0","0","12248","172620","144373","-88","4","0","0","0","0","76","9","38","5"
"ConsiderSelfOnly","0","0","8813","113016","89313","20","4","0","0","0","0","57","16","24","3"
"CondiserEnemyPosition","0","0","59723","932083","802720","-4","4","0","0","0","0","71","30","59","6"
"ConsiderSelfOnly","0","0","19059","228379","176640","12","4","0","0","0","0","51","32","29","3"
"CondiserEnemyPosition","0","0","87027","1318059","1125378","-4","4","0","0","0","0","80","36","64","5"
"ConsiderSelfOnly","0","0","11777","146187","113591","20","4","0","0","0","0","58","18","28","3"
"CondiserEnemyPosition","0","0","59270","966085","838659","-8","4","0","0","0","0","77","27","58","6"
