"player","score of CondiserEnemyPosition","score of ConsiderSelfOnly","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"CondiserEnemyPosition","0","0","4032","52643","45377","0","4","0","0","0","0","44","8","17","6"
"ConsiderSelfOnly","0","0","860","8082","5599","-122","4","0","0","0","0","44","2","24","2"
"CondiserEnemyPosition","0","0","3375","50637","42856","0","4","0","0","0","0","51","6","22","5"
"ConsiderSelfOnly","0","0","1194","14495","11284","-104","4","0","0","0","0","51","3","17","3"
"CondiserEnemyPosition","0","0","3590","65332","58287","0","4","0","0","0","0","62","6","15","8"
"ConsiderSelfOnly","0","0","1090","10968","7694","-80","4","0","0","0","0","54","2","27","2"
"CondiserEnemyPosition","0","0","4700","63691","52053","-14","4","0","0","0","0","62","4","37","4"
"ConsiderSelfOnly","0","0","1699","17904","13130","-60","4","0","0","0","0","58","3","24","2"
"CondiserEnemyPosition","0","0","13366","176576","144310","4","4","0","0","0","0","62","12","41","4"
"ConsiderSelfOnly","0","0","2151","28217","22456","-40","4","0","0","0","0","62","4","18","4"
"CondiserEnemyPosition","0","0","3713","48634","39652","-2","4","0","0","0","0","65","3","34","4"
"ConsiderSelfOnly","0","0","3375","39517","30248","-32","4","0","0","0","0","61","5","26","3"
"CondiserEnemyPosition","0","0","7759","120812","103427","18","4","0","0","0","0","70","5","40","6"
"ConsiderSelfOnly","0","0","3414","53461","43994","-24","4","0","0","0","0","53","9","17","4"
"CondiserEnemyPosition","0","0","10706","160785","135643","-4","4","0","0","0","0","74","6","51","5"
"ConsiderSelfOnly","0","0","7929","95792","74895","-22","4","0","0","0","0","59","12","26","3"
"CondiserEnemyPosition","0","0","18405","342620","300141","96","4","0","0","0","0","70","14","41","7"
"ConsiderSelfOnly","0","0","4839","68338","56049","-72","4","0","0","0","0","61","9","19","4"
"CondiserEnemyPosition","0","0","49629","758036","641131","62","4","0","0","0","0","79","21","67","5"
"ConsiderSelfOnly","0","0","8136","114266","93758","-22","4","0","0","0","0","59","16","20","4"
"CondiserEnemyPosition","0","0","25083","457563","399157","106","4","0","0","0","0","78","15","47","6"
"ConsiderSelfOnly","0","0","1532","14744","10830","-72","4","0","0","0","0","58","2","27","2"
"CondiserEnemyPosition","0","0","19846","315193","268991","58","4","0","0","0","0","76","9","64","5"
"ConsiderSelfOnly","0","0","3225","51368","43534","-22","4","0","0","0","0","54","9","14","5"
"CondiserEnemyPosition","0","0","50886","644004","519216","74","4","0","0","0","0","77","23","68","4"
"ConsiderSelfOnly","0","0","2575","38558","31789","-24","4","0","0","0","0","48","6","21","4"
"CondiserEnemyPosition","0","0","16873","238629","197949","22","4","0","0","0","0","81","7","63","4"
"ConsiderSelfOnly","0","0","3048","43947","36302","-22","4","0","0","0","0","54","7","17","5"
"CondiserEnemyPosition","0","0","35831","466835","378676","68","4","0","0","0","0","72","18","66","4"
"ConsiderSelfOnly","0","0","7291","80576","61601","-24","4","0","0","0","0","48","12","29","3"
"CondiserEnemyPosition","0","0","24417","368009","309400","78","4","0","0","0","0","71","12","67","5"
"ConsiderSelfOnly","0","0","2841","39200","31920","-22","4","0","0","0","0","53","6","18","4"
"CondiserEnemyPosition","0","0","47528","627550","512004","82","4","0","0","0","0","71","23","66","4"
"ConsiderSelfOnly","0","0","14186","176072","138517","-24","4","0","0","0","0","48","29","25","3"
"CondiserEnemyPosition","0","0","58799","812052","669181","74","4","0","0","0","0","70","31","63","4"
"ConsiderSelfOnly","0","0","3970","60638","50610","-22","4","0","0","0","0","54","10","16","5"
"CondiserEnemyPosition","0","0","66674","808203","642600","88","4","0","0","0","0","70","37","62","3"
"ConsiderSelfOnly","0","0","7295","76560","57102","-24","4","0","0","0","0","48","11","34","3"
"CondiserEnemyPosition","0","0","70766","908068","733310","80","4","0","0","0","0","67","42","60","4"
"ConsiderSelfOnly","0","0","8502","113351","90977","-22","4","0","0","0","0","59","13","26","4"
"CondiserEnemyPosition","0","0","9452","134784","112428","54","4","0","0","0","0","76","6","47","5"
"ConsiderSelfOnly","0","0","9227","114140","90087","-24","4","0","0","0","0","47","19","25","3"
"CondiserEnemyPosition","0","0","50949","698628","574349","74","4","0","0","0","0","74","24","67","4"
"ConsiderSelfOnly","0","0","2806","37285","30188","-22","4","0","0","0","0","53","6","19","4"
"CondiserEnemyPosition","0","0","43751","549071","440837","82","4","0","0","0","0","68","25","62","4"
"ConsiderSelfOnly","0","0","2086","29553","24188","-24","4","0","0","0","0","50","5","18","4"
"CondiserEnemyPosition","0","0","10786","163967","138775","48","4","0","0","0","0","74","5","57","5"
"ConsiderSelfOnly","0","0","2047","25266","20148","-22","4","0","0","0","0","52","4","20","4"
"CondiserEnemyPosition","0","0","46917","618051","504267","82","4","0","0","0","0","70","24","66","4"
"ConsiderSelfOnly","0","0","13614","158130","122084","-24","4","0","0","0","0","48","24","29","3"
"CondiserEnemyPosition","0","0","45940","659289","549366","74","4","0","0","0","0","70","24","64","5"
"ConsiderSelfOnly","0","0","3028","43034","35199","-22","4","0","0","0","0","53","7","18","4"
"CondiserEnemyPosition","0","0","33303","431423","349877","70","4","0","0","0","0","66","19","61","4"
"ConsiderSelfOnly","0","0","6310","64345","47643","-24","4","0","0","0","0","48","9","36","2"
"CondiserEnemyPosition","0","0","51320","694008","568703","86","4","0","0","0","0","68","28","63","4"
"ConsiderSelfOnly","0","0","1500","19947","15830","-50","4","0","0","0","0","47","3","25","4"
"CondiserEnemyPosition","0","0","31213","429946","354394","36","4","0","0","0","0","75","17","57","4"
"ConsiderSelfOnly","0","0","12576","141107","107832","-28","4","0","0","0","0","57","14","38","3"
"CondiserEnemyPosition","0","0","57543","689719","543955","80","4","0","0","0","0","66","36","59","3"
"ConsiderSelfOnly","0","0","7923","85999","65041","-22","4","0","0","0","0","51","9","40","3"
"CondiserEnemyPosition","0","0","57752","756996","615138","80","4","0","0","0","0","67","34","60","4"
"ConsiderSelfOnly","0","0","12354","135400","103393","-22","4","0","0","0","0","55","16","34","3"
"CondiserEnemyPosition","0","0","34829","440554","353391","88","4","0","0","0","0","72","18","65","4"
"ConsiderSelfOnly","0","0","7771","99236","79346","-32","4","0","0","0","0","47","15","26","4"
"CondiserEnemyPosition","0","0","32032","449524","371152","102","4","0","0","0","0","69","16","66","4"
