"player","score of PapadopoulosReimplementation","score of AbaProReimplementation","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"PapadopoulosReimplementation","0","0","17429","284841","243350","0","4","0","0","0","0","52","23","32","6"
"AbaProReimplementation","0","0","3288","76435","62842","-3","4","0","0","0","0","52","14","16","4"
"PapadopoulosReimplementation","0","0","20871","432912","384778","0","4","0","0","0","0","59","20","39","8"
"AbaProReimplementation","0","0","6860","204031","177075","-2","4","0","0","0","0","60","29","14","7"
"PapadopoulosReimplementation","0","0","34481","811155","731009","34","4","0","0","0","0","70","26","42","9"
"AbaProReimplementation","0","0","8876","276368","241046","0","4","0","0","0","0","62","42","12","7"
"PapadopoulosReimplementation","0","0","44523","1130751","1042736","14","4","0","0","0","0","74","32","36","12"
"AbaProReimplementation","0","0","9338","366512","331365","0","4","0","0","0","0","64","47","10","10"
"PapadopoulosReimplementation","0","0","29187","642476","577051","-20","4","0","0","0","0","83","14","54","8"
"AbaProReimplementation","0","0","10692","338266","297356","-2","4","0","0","0","0","63","47","12","7"
"PapadopoulosReimplementation","0","0","33370","733801","644729","24","4","0","0","0","0","78","21","52","7"
"AbaProReimplementation","0","0","4687","158590","140991","-2","4","0","0","0","0","53","29","10","8"
"PapadopoulosReimplementation","0","0","15880","331714","286136","30","4","0","0","0","0","70","14","45","6"
"AbaProReimplementation","0","0","2596","79295","68766","-3","4","0","0","0","0","44","16","13","7"
"PapadopoulosReimplementation","0","0","33955","785886","683305","62","4","0","0","0","0","68","30","49","6"
"AbaProReimplementation","0","0","5531","138472","116375","-2","4","0","0","0","0","56","19","18","5"
"PapadopoulosReimplementation","0","0","30182","711763","623765","66","4","0","0","0","0","66","35","36","7"
"AbaProReimplementation","0","0","10102","277071","237928","0","4","0","0","0","0","57","40","15","6"
"PapadopoulosReimplementation","0","0","21040","471437","409997","38","4","0","0","0","0","65","20","46","6"
"AbaProReimplementation","0","0","8694","203750","168480","-1","4","0","0","0","0","51","33","19","5"
"PapadopoulosReimplementation","0","0","8426","193676","167985","38","4","0","0","0","0","61","10","37","6"
"AbaProReimplementation","0","0","6860","204799","176849","-1","4","0","0","0","0","56","28","16","6"
"PapadopoulosReimplementation","0","0","12169","274758","235783","46","4","0","0","0","0","64","14","41","6"
"AbaProReimplementation","0","0","9830","243245","204015","-2","4","0","0","0","0","54","37","18","5"
"PapadopoulosReimplementation","0","0","15511","365103","321572","40","4","0","0","0","0","56","19","38","7"
"AbaProReimplementation","0","0","10419","250003","208681","-2","4","0","0","0","0","53","33","22","5"
"PapadopoulosReimplementation","0","0","8422","195925","170007","52","4","0","0","0","0","53","13","35","6"
