"player","score of AbaProReimplementation","score of PapadopoulosReimplementation","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"AbaProReimplementation","0","0","4978","92681","75869","0","4","0","0","0","0","52","19","15","4"
"PapadopoulosReimplementation","0","0","5361","110701","98666","-12","4","0","0","0","0","52","9","23","8"
"AbaProReimplementation","0","0","6186","128535","103665","0","4","0","0","0","0","59","20","19","4"
"PapadopoulosReimplementation","0","0","12600","283665","252234","12","4","0","0","0","0","60","20","23","8"
"AbaProReimplementation","0","0","4865","106999","88056","0","4","0","0","0","0","64","16","17","4"
"PapadopoulosReimplementation","0","0","11588","224803","190613","-6","4","0","0","0","0","58","13","41","5"
"AbaProReimplementation","0","0","6403","128459","103463","1","4","0","0","0","0","59","19","20","4"
"PapadopoulosReimplementation","0","0","4124","73430","61317","-18","4","0","0","0","0","62","8","22","5"
"AbaProReimplementation","0","0","5290","133732","114244","1","4","0","0","0","0","56","21","14","6"
"PapadopoulosReimplementation","0","0","4150","66664","53566","-18","4","0","0","0","0","63","5","34","4"
"AbaProReimplementation","0","0","3874","92546","77300","0","4","0","0","0","0","51","16","17","5"
"PapadopoulosReimplementation","0","0","10588","187225","151429","24","4","0","0","0","0","63","14","38","4"
"AbaProReimplementation","0","0","3828","141878","127681","1","4","0","0","0","0","56","23","9","9"
"PapadopoulosReimplementation","0","0","4222","67879","52545","-34","4","0","0","0","0","60","7","33","3"
"AbaProReimplementation","0","0","5767","192992","171276","-1","4","0","0","0","0","56","28","12","8"
"PapadopoulosReimplementation","0","0","7828","125893","98119","22","4","0","0","0","0","68","10","36","3"
"AbaProReimplementation","0","0","4197","121325","103931","0","4","0","0","0","0","47","17","20","6"
"PapadopoulosReimplementation","0","0","8548","143557","112933","40","4","0","0","0","0","62","12","38","3"
"AbaProReimplementation","0","0","4757","118270","98270","-1","4","0","0","0","0","46","15","26","5"
"PapadopoulosReimplementation","0","0","18071","301736","238374","48","4","0","0","0","0","60","21","46","3"
"AbaProReimplementation","0","0","10426","240329","198945","1","4","0","0","0","0","56","26","26","4"
"PapadopoulosReimplementation","0","0","12116","209367","166445","44","4","0","0","0","0","62","15","43","3"
