"player","score of PapadopoulosReimplementation","score of AbaProReimplementation","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"PapadopoulosReimplementation","0","0","5857","62973","55670","0","4","0","0","0","0","44","8","18","8"
"AbaProReimplementation","0","0","6021","107023","90738","-3","4","0","0","0","0","44","26","13","6"
"PapadopoulosReimplementation","0","0","6174","102671","91060","12","4","0","0","0","0","51","11","18","8"
"AbaProReimplementation","0","0","6574","134431","114690","-3","4","0","0","0","0","52","25","13","6"
"PapadopoulosReimplementation","0","0","4289","83725","76380","0","4","0","0","0","0","62","5","19","11"
"AbaProReimplementation","0","0","16305","298535","245992","-3","4","0","0","0","0","53","33","28","4"
"PapadopoulosReimplementation","0","0","13806","217769","183147","50","4","0","0","0","0","56","20","29","5"
"AbaProReimplementation","0","0","23006","337362","267640","-2","4","0","0","0","0","63","38","27","3"
"PapadopoulosReimplementation","0","0","32526","736310","672591","102","4","0","0","0","0","50","36","33","10"
"AbaProReimplementation","0","0","23224","333545","261300","-1","4","0","0","0","0","66","35","30","3"
"PapadopoulosReimplementation","0","0","13751","244248","212577","34","4","0","0","0","0","55","16","34","6"
"AbaProReimplementation","0","0","26644","417387","338253","-1","4","0","0","0","0","64","47","24","4"
"PapadopoulosReimplementation","0","0","17101","313886","269721","88","4","0","0","0","0","50","35","24","6"
"AbaProReimplementation","0","0","11346","157188","120568","1","4","0","0","0","0","69","18","28","3"
"PapadopoulosReimplementation","0","0","19693","421905","376421","74","4","0","0","0","0","52","25","33","8"
"AbaProReimplementation","0","0","11351","256701","222130","6","4","0","0","0","0","69","41","10","7"
"PapadopoulosReimplementation","0","0","11698","230554","200712","34","4","0","0","0","0","60","13","34","6"
"AbaProReimplementation","0","0","33632","434163","334343","4","4","0","0","0","0","67","42","33","3"
"PapadopoulosReimplementation","0","0","36809","729422","642346","50","4","0","0","0","0","58","35","40","7"
"AbaProReimplementation","0","0","8191","138043","113009","2","4","0","0","0","0","68","17","19","4"
"PapadopoulosReimplementation","0","0","33270","631088","551176","24","4","0","0","0","0","61","41","30","7"
"AbaProReimplementation","0","0","13447","232027","192280","2","4","0","0","0","0","69","28","19","5"
"PapadopoulosReimplementation","0","0","16969","302523","262850","26","4","0","0","0","0","58","21","30","6"
"AbaProReimplementation","0","0","21350","366044","297250","3","4","0","0","0","0","67","36","27","4"
"PapadopoulosReimplementation","0","0","16149","264254","226029","-12","4","0","0","0","0","65","15","36","6"
"AbaProReimplementation","0","0","7846","163617","137429","0","4","0","0","0","0","60","22","18","5"
"PapadopoulosReimplementation","0","0","30410","488354","406750","4","4","0","0","0","0","71","23","47","5"
"AbaProReimplementation","0","0","9725","238470","204368","0","4","0","0","0","0","53","32","18","6"
"PapadopoulosReimplementation","0","0","3374","59178","48452","0","4","0","0","0","0","59","6","26","4"
"AbaProReimplementation","0","0","17269","467309","405681","2","4","0","0","0","0","61","48","19","6"
"PapadopoulosReimplementation","0","0","6824","141403","122722","22","4","0","0","0","0","64","11","25","6"
"AbaProReimplementation","0","0","10574","288077","252161","-2","4","0","0","0","0","60","39","14","7"
"PapadopoulosReimplementation","0","0","12510","240708","205127","70","4","0","0","0","0","68","13","39","5"
"AbaProReimplementation","0","0","9735","234675","201197","-6","4","0","0","0","0","61","23","22","6"
"PapadopoulosReimplementation","0","0","8752","140313","111980","88","4","0","0","0","0","70","8","44","4"
"AbaProReimplementation","0","0","10016","369833","334747","-4","4","0","0","0","0","60","41","13","10"
"PapadopoulosReimplementation","1","0","7135","86717","61930","202","4","0","0","0","0","72","7","46","2"
"AbaProReimplementation","1","0","8623","196563","162710","-97","4","0","0","0","0","66","14","35","4"
"PapadopoulosReimplementation","1","0","11893","342231","317897","882","4","0","0","0","0","67","16","20","13"
"AbaProReimplementation","1","0","7931","198542","166876","-96","4","0","0","0","0","63","18","26","5"
